采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款金额(万),净资金流入(万)
2017-09-30,车e融,171,11%,7,1.00,7,1104.60,3899.89,82.65
2017-09-30,惠投无忧,171,9.58%,75,4.70,6,269.35,10595.4,128.47
2017-09-30,钱道网,170.17,12.9%,43,6.06,3,0.02,12971.61,0
2017-09-30,邦帮堂,167.3,7.56%,20,2.16,13,985.10,96526.13,-13.61
2017-09-30,好好理财,165,11.82%,98,7.55,4,50.83,61159.21,16.12
2017-09-30,钱盒子金融,164.66,11.53%,108,4.82,6,439.92,24191.52,0
2017-09-30,森昊好时贷,164.41,10.2%,19,12.12,37,89.66,65389.45,0
2017-09-30,量子金融,164.16,13.73%,92,5.30,39,16.85,8873.55,33.92
2017-09-30,喔喔贷,162.5,10.04%,39,6.68,10,522.20,17313.25,147.59
2017-09-30,鲁金所,161.7,9.33%,116,5.08,12,80.53,4476.36,30.59
2017-09-30,改革牛,160.32,10.73%,16,6.06,2,1191.33,6886.87,0
2017-09-30,一点钱  ,160.01,9%,36,0.93,3,480.00,20898.29,-1221.62
2017-09-30,潮人贷,160,12.6%,57,3.00,6,205.54,4707.58,-27.46
2017-09-30,e葱金融,160,8.38%,41,1.00,8,402.78,2950.99,46.46
2017-09-30,财神在线,160,8.06%,20,1.75,3,0.00,5305.48,26.33
2017-09-30,信和贷,159.43,14.72%,76,10.51,9,14.17,20223.85,71.49
2017-09-30,悦享金服,156.15,10%,59,2.47,5,304.22,3832.3,92.94
2017-09-30,金源贷,152,19.08%,41,2.50,12,5.55,9385.68,26.44
2017-09-30,利聚网,150.7,14.75%,152,1.72,6,74.24,9536.91,0.86
2017-09-30,利得行,150.51,10.1%,0,4.91,10,146.92,8181.29,107.24
2017-09-30,万贝贷,150,11%,25,6.00,1,0,686.54,-131.3
2017-09-30,银强金融,149.5,10.37%,20,1.37,4,2074.00,980.35,133.16
2017-09-30,万家贷,149,11.98%,94,2.30,3,289.28,12563.53,-185.91
2017-09-30,e兴金融,145.85,9.64%,59,10.32,7,190.55,31104.84,0
2017-09-30,助商贷,144.41,13.71%,0,3.01,1,0,12356.95,80.91
2017-09-30,看看钱包,143.7,8.55%,29,2.67,1,168.14,5613.04,74.45
2017-09-30,前海领投,142,11%,4,24.00,9,83.19,3628.66,152.59
2017-09-30,易e贷,140,10.54%,12,5.57,7,205.08,5213.35,136.29
2017-09-30,稳贷网,139.8,18.86%,54,17.95,11,16.51,27818.19,-70.77
2017-09-30,金元宝理财,139.66,12.12%,94,10.46,14,5.16,57642.41,46.21
2017-09-30,天玑汇富,139.61,12.89%,79,4.92,8,839.80,17803.43,-14.61
2017-09-30,洋葱先生,139.02,13.98%,1791,9.24,153,0.26,38589.23,20.68
2017-09-30,金牌理财,137.8,13.81%,52,2.01,11,276.12,6864.66,22.3
2017-09-30,星月创投,137.74,15.91%,31,16.54,4,73.80,23769,0
2017-09-30,广群金融,136.31,8.88%,48,0.59,1252,4.76,2514.3,-21.61
2017-09-30,中潮金服,136.27,15.57%,64,2.18,12,483.87,19412.92,-0.28
2017-09-30,丰投网,135.4,9.08%,46,2.09,1,78.01,5938.04,-36.51
2017-09-30,投这家,135.12,13.34%,94,2.89,28,29.13,6009.96,-4.76
2017-09-30,瑞银创投,130,12.31%,49,2.00,2,583.42,11655.4,-2.29
2017-09-30,鼎信贷,121.1,11.37%,67,6.12,8,109.67,12787.09,11.69
2017-09-30,浙昌贷,120.24,11.62%,16,1.53,2,654.99,7688.16,0
2017-09-30,糖果金融,120,8.45%,58,2.05,11,674.81,13842.52,39.09
2017-09-30,普道财富,120,8.03%,50,11.13,7,1329.69,12492.25,53.81
2017-09-30,360金融,120,15%,45,3.00,1,0.24,9855.48,55.02
2017-09-30,快快贷,120,9.28%,134,2.00,3,1409.89,15726.22,-324.03
2017-09-30,贷金所,115.5,7.67%,54,4.68,3,915.82,17876.9,50.08
2017-09-30,赢众投,115,9.89%,9,3.06,3,444.75,13037.87,46.88
2017-09-30,椰子理财,110.22,7.98%,31,1.85,2,1856.24,21661.44,0
2017-09-30,前沿财富,108,19.04%,77,9.04,28,1.11,10115.7,121.86
2017-09-30,钱满仓,106,10.29%,13,4.39,60,1680.41,8335.16,45.67
2017-09-30,微邦金融,103.7,12.14%,9,3.61,7,438.19,4652.73,17.57
2017-09-30,惠金贷,103.5,13.31%,16,5.47,10,255.85,11213.12,12.27
2017-09-30,为为贷,102.6,11.15%,11,1.08,1,195.30,4340.3,91.55
2017-09-30,建工E贷,100,10.8%,18,1.00,5,318.00,1234.01,36.32
2017-09-30,来融金服,100,8.4%,16,3.00,1,180.16,12562.38,102.1
2017-09-30,财富500,100,9%,10,3.00,1,3679.80,4109.17,102.25
2017-09-30,徽金猫,100,12%,13,4.80,10,0.00,4385.05,24.32
2017-09-30,物金所,100,10.07%,14,2.17,4,521.75,11908.05,60.25
2017-09-30,51帮你,99,12.36%,49,1.58,4,276.14,5037.66,-2.22
2017-09-30,泛湾天域,98,13.9%,22,4.80,3,583.00,4584.66,77.62
2017-09-30,就爱金融,97.93,8.04%,11,1.24,2,599.52,4454.73,41.67
2017-09-30,中兴财富,95.6,16.31%,108,7.82,14,238.64,23549.98,-44.97
2017-09-30,笨小孩理财,93,9.6%,45,2.94,6,34.02,5541.92,64.08
2017-09-30,众房宝,90,9.91%,68,1.52,5,792.00,4587.52,15.43
2017-09-30,易贷在线,90,17.61%,27,1.04,7,6.57,2790.66,55.03
2017-09-30,分钱网,88,12%,5,3.00,1,0.00,10122.97,15.17
2017-09-30,联投金融,87.4,13.15%,77,4.22,8,231.80,6580.74,52.47
2017-09-30,云回通宝,87,15.9%,6,1.34,1,0.43,6319.87,-89.78
